Name,
"1 548,03 621,87 1 169,90 245 151,97",
"2 549,42 620,48 1 169,90 244 602,55",
"3 550,81 619,09 1 169,90 244 051,74",
"4 552,21 617,69 1 169,90 243 499,53",
"5 553,60 616,30 1 169,90 242 945,93",
"6 555,00 614,90 1 169,90 242 390,93",
"7 556,41 613,49 1 169,90 241 834,52",
"8 557,82 612,08 1 169,90 241 276,70",
"9 559,23 610,67 1 169,90 240 717,47",
"10 560,64 609,26 1 169,90 240 156,83",
"11 562,06 607,84 1 169,90 239 594,77",
"12 563,49 606,41 1 169,90 239 031,28",
"13 564,91 604,99 1 169,90 238 466,37",
"14 566,34 603,56 1 169,90 237 900,03",
"15 567,78 602,12 1 169,90 237 332,25",
"16 569,21 600,69 1 169,90 236 763,04",
"17 570,65 599,25 1 169,90 236 192,39",
"18 572,10 597,80 1 169,90 235 620,29",
"19 573,55 596,35 1 169,90 235 046,74",
"20 575,00 594,90 1 169,90 234 471,74",
"21 576,45 593,45 1 169,90 233 895,29",
"22 577,91 591,99 1 169,90 233 317,38",
"23 579,37 590,53 1 169,90 232 738,01",
"24 580,84 589,06 1 169,90 232 157,17",
"25 582,31 587,59 1 169,90 231 574,86",
"26 583,78 586,12 1 169,90 230 991,08",
"27 585,26 584,64 1 169,90 230 405,82",
"28 586,74 583,16 1 169,90 229 819,08",
"29 588,23 581,67 1 169,90 229 230,85",
"30 589,72 580,18 1 169,90 228 641,13",
"31 591,21 578,69 1 169,90 228 049,92",
"32 592,71 577,19 1 169,90 227 457,21",
"33 594,21 575,69 1 169,90 226 863,00",
"34 595,71 574,19 1 169,90 226 267,29",
"35 597,22 572,68 1 169,90 225 670,07",
"36 598,73 571,17 1 169,90 225 071,34",
"37 600,24 569,66 1 169,90 224 471,10",
"38 601,76 568,14 1 169,90 223 869,34",
"39 603,29 566,61 1 169,90 223 266,05",
"40 604,81 565,09 1 169,90 222 661,24",
"41 606,34 563,56 1 169,90 222 054,90",
"42 607,88 562,02 1 169,90 221 447,02",
"43 609,42 560,48 1 169,90 220 837,60",
"44 610,96 558,94 1 169,90 220 226,64",
"45 612,51 557,39 1 169,90 219 614,13",
"46 614,06 555,84 1 169,90 219 000,07",
"47 615,61 554,29 1 169,90 218 384,46",
"48 617,17 552,73 1 169,90 217 767,29",
"49 618,73 551,17 1 169,90 217 148,56",
"50 620,30 549,60 1 169,90 216 528,26",
"51 621,87 548,03 1 169,90 215 906,39",
"52 623,44 546,46 1 169,90 215 282,95",
"53 625,02 544,88 1 169,90 214 657,93",
"54 626,60 543,30 1 169,90 214 031,33",
"55 628,19 541,71 1 169,90 213 403,14",
"56 629,78 540,12 1 169,90 212 773,36",
"57 631,37 538,53 1 169,90 212 141,99",
"58 632,97 536,93 1 169,90 211 509,02",
"59 634,57 535,33 1 169,90 210 874,45",
"60 636,18 533,72 1 169,90 210 238,27",
"61 637,79 532,11 1 169,90 209 600,48",
"62 639,40 530,50 1 169,90 208 961,08",
"63 641,02 528,88 1 169,90 208 320,06",
"64 642,64 527,26 1 169,90 207 677,42",
"65 644,27 525,63 1 169,90 207 033,15",
"66 645,90 524,00 1 169,90 206 387,25",
"67 647,53 522,37 1 169,90 205 739,72",
"68 649,17 520,73 1 169,90 205 090,55",
"69 650,82 519,08 1 169,90 204 439,73",
"70 652,46 517,44 1 169,90 203 787,27",
"71 654,11 515,79 1 169,90 203 133,16",
"72 655,77 514,13 1 169,90 202 477,39",
"73 657,43 512,47 1 169,90 201 819,96",
"74 659,09 510,81 1 169,90 201 160,87",
"75 660,76 509,14 1 169,90 200 500,11",
"76 662,43 507,47 1 169,90 199 837,68",
"77 664,11 505,79 1 169,90 199 173,57",
"78 665,79 504,11 1 169,90 198 507,78",
"79 667,48 502,42 1 169,90 197 840,30",
"80 669,17 500,73 1 169,90 197 171,13",
"81 670,86 499,04 1 169,90 196 500,27",
"82 672,56 497,34 1 169,90 195 827,71",
"83 674,26 495,64 1 169,90 195 153,45",
"84 675,97 493,93 1 169,90 194 477,48",
"85 677,68 492,22 1 169,90 193 799,80",
"86 679,39 490,51 1 169,90 193 120,41",
"87 681,11 488,79 1 169,90 192 439,30",
"88 682,84 487,06 1 169,90 191 756,46",
"89 684,56 485,34 1 169,90 191 071,90",
"90 686,30 483,60 1 169,90 190 385,60",
"91 688,03 481,87 1 169,90 189 697,57",
"92 689,78 480,12 1 169,90 189 007,79",
"93 691,52 478,38 1 169,90 188 316,27",
"94 693,27 476,63 1 169,90 187 623,00",
"95 695,03 474,87 1 169,90 186 927,97",
"96 696,79 473,11 1 169,90 186 231,18",
"97 698,55 471,35 1 169,90 185 532,63",
"98 700,32 469,58 1 169,90 184 832,31",
"99 702,09 467,81 1 169,90 184 130,22",
"100 703,87 466,03 1 169,90 183 426,35",
"101 705,65 464,25 1 169,90 182 720,70",
"102 707,43 462,47 1 169,90 182 013,27",
"103 709,22 460,68 1 169,90 181 304,05",
"104 711,02 458,88 1 169,90 180 593,03",
"105 712,82 457,08 1 169,90 179 880,21",
"106 714,62 455,28 1 169,90 179 165,59",
"107 716,43 453,47 1 169,90 178 449,16",
"108 718,25 451,65 1 169,90 177 730,91",
"109 720,06 449,84 1 169,90 177 010,85",
"110 721,89 448,01 1 169,90 176 288,96",
"111 723,71 446,19 1 169,90 175 565,25",
"112 725,54 444,36 1 169,90 174 839,71",
"113 727,38 442,52 1 169,90 174 112,33",
"114 729,22 440,68 1 169,90 173 383,11",
"115 731,07 438,83 1 169,90 172 652,04",
"116 732,92 436,98 1 169,90 171 919,12",
"117 734,77 435,13 1 169,90 171 184,35",
"118 736,63 433,27 1 169,90 170 447,72",
"119 738,50 431,40 1 169,90 169 709,22",
"120 740,37 429,53 1 169,90 168 968,85",
"121 742,24 427,66 1 169,90 168 226,61",
"122 744,12 425,78 1 169,90 167 482,49",
"123 746,00 423,90 1 169,90 166 736,49",
"124 747,89 422,01 1 169,90 165 988,60",
"125 749,78 420,12 1 169,90 165 238,82",
"126 751,68 418,22 1 169,90 164 487,14",
"127 753,58 416,32 1 169,90 163 733,56",
"128 755,49 414,41 1 169,90 162 978,07",
"129 757,40 412,50 1 169,90 162 220,67",
"130 759,32 410,58 1 169,90 161 461,35",
"131 761,24 408,66 1 169,90 160 700,11",
"132 763,17 406,73 1 169,90 159 936,94",
"133 765,10 404,80 1 169,90 159 171,84",
"134 767,04 402,86 1 169,90 158 404,80",
"135 768,98 400,92 1 169,90 157 635,82",
"136 770,92 398,98 1 169,90 156 864,90",
"137 772,87 397,03 1 169,90 156 092,03",
"138 774,83 395,07 1 169,90 155 317,20",
"139 776,79 393,11 1 169,90 154 540,41",
"140 778,76 391,14 1 169,90 153 761,65",
"141 780,73 389,17 1 169,90 152 980,92",
"142 782,71 387,19 1 169,90 152 198,21",
"143 784,69 385,21 1 169,90 151 413,52",
"144 786,67 383,23 1 169,90 150 626,85",
"145 788,66 381,24 1 169,90 149 838,19",
"146 790,66 379,24 1 169,90 149 047,53",
"147 792,66 377,24 1 169,90 148 254,87",
"148 794,67 375,23 1 169,90 147 460,20",
"149 796,68 373,22 1 169,90 146 663,52",
"150 798,69 371,21 1 169,90 145 864,83",
"151 800,72 369,18 1 169,90 145 064,11",
"152 802,74 367,16 1 169,90 144 261,37",
"153 804,77 365,13 1 169,90 143 456,60",
"154 806,81 363,09 1 169,90 142 649,79",
"155 808,85 361,05 1 169,90 141 840,94",
"156 810,90 359,00 1 169,90 141 030,04",
"157 812,95 356,95 1 169,90 140 217,09",
"158 815,01 354,89 1 169,90 139 402,08",
"159 817,07 352,83 1 169,90 138 585,01",
"160 819,14 350,76 1 169,90 137 765,87",
"161 821,21 348,69 1 169,90 136 944,66",
"162 823,29 346,61 1 169,90 136 121,37",
"163 825,38 344,52 1 169,90 135 295,99",
"164 827,47 342,43 1 169,90 134 468,52",
"165 829,56 340,34 1 169,90 133 638,96",
"166 831,66 338,24 1 169,90 132 807,30",
"167 833,76 336,14 1 169,90 131 973,54",
"168 835,87 334,03 1 169,90 131 137,67",
"169 837,99 331,91 1 169,90 130 299,68",
"170 840,11 329,79 1 169,90 129 459,57",
"171 842,24 327,66 1 169,90 128 617,33",
"172 844,37 325,53 1 169,90 127 772,96",
"173 846,51 323,39 1 169,90 126 926,45",
"174 848,65 321,25 1 169,90 126 077,80",
"175 850,80 319,10 1 169,90 125 227,00",
"176 852,95 316,95 1 169,90 124 374,05",
"177 855,11 314,79 1 169,90 123 518,94",
"178 857,27 312,63 1 169,90 122 661,67",
"179 859,44 310,46 1 169,90 121 802,23",
"180 861,62 308,28 1 169,90 120 940,61",
"181 863,80 306,10 1 169,90 120 076,81",
"182 865,99 303,91 1 169,90 119 210,82",
"183 868,18 301,72 1 169,90 118 342,64",
"184 870,37 299,53 1 169,90 117 472,27",
"185 872,58 297,32 1 169,90 116 599,69",
"186 874,79 295,11 1 169,90 115 724,90",
"187 877,00 292,90 1 169,90 114 847,90",
"188 879,22 290,68 1 169,90 113 968,68",
"189 881,45 288,45 1 169,90 113 087,23",
"190 883,68 286,22 1 169,90 112 203,55",
"191 885,91 283,99 1 169,90 111 317,64",
"192 888,16 281,74 1 169,90 110 429,48",
"193 890,40 279,50 1 169,90 109 539,08",
"194 892,66 277,24 1 169,90 108 646,42",
"195 894,92 274,98 1 169,90 107 751,50",
"196 897,18 272,72 1 169,90 106 854,32",
"197 899,45 270,45 1 169,90 105 954,87",
"198 901,73 268,17 1 169,90 105 053,14",
"199 904,01 265,89 1 169,90 104 149,13",
